date,Tempmin,Tempmax,Rainfall,WindSpeed,Dampness9am,Dampnessa3pm,Pressure9am,Pressure3pm,RainToday,RainTomorrow
2023/1/24,-1.8,14.4,0.2,28,80,57,1019,1017.4,No,No
2023/1/25,5.7,12.6,1.2,33,80,50,1018.9,1017.5,Yes,No
2023/1/26,14.5,19.3,0.2,44,72,67,1015.4,1012.9,No,Yes
2023/1/27,6.9,12.1,3.2,24,99,61,1018.7,1017.3,Yes,No
2023/1/28,11,18.8,0,24,52,48,1017.5,1015.5,No,No
2023/1/29,4,20.3,0,30,98,37,1019.3,1015.5,No,No
2023/1/30,1.1,14.1,0.2,28,100,37,1018.8,1017.2,No,No
2023/1/31,-4.533333333,14.5,1.2,28,67,37,1028.4,1026.6,Yes,No
2023/2/1,4.9,13,0.2,19,98,61,1020.2,1018.5,No,No
2023/2/2,3.2,10.9,2.2,46,63,52,1010.2,1009.5,Yes,No
2023/2/3,10.3,14.9,2.2,30,100,70,1028.3,1026.2,Yes,Yes
2023/2/4,9.4,19.9,0,30,61,88,1027.666667,1025.766667,No,No
2023/2/5,-1.6,4.1,0,65,96,72,1031.716667,1029.616667,No,No
2023/2/6,7.8,27,0,28,51,24,1019.4,1033.466667,No,No
2023/2/7,-0.5,11.4,8.6,28,96,58,1019.4,1037.316667,Yes,No
2023/2/8,5,17.3,0,17,83,54,1020.7,1018.5,No,No
2023/2/9,11.5,18.2,0,30,62,47,1025.9,1023.4,No,No
2023/2/10,8.3,12.3,1.4,30,75,63,1018.7,1017.4,Yes,No
2023/2/11,2.5,19.8,0,26,85,39,1017.8,1015.2,No,No
2023/2/12,6,12.8,1.4,22,92,59,1017.9,1016.4,Yes,No
2023/2/13,2.9,18.2,0,15,93,52,1020.8,1018.3,No,No
2023/2/14,19.3,25.6,1.2,41,85,81,1016.2,1014.6,Yes,Yes
2023/2/15,11.8,24.3,0,31,65,52,1018.1,1015.4,No,No
2023/2/16,4.8,12.3,2.2,28,93,70,1020,1018,Yes,No
2023/2/17,4,8.5,1.4,30,100,71,1019.3,1017.8,Yes,No
2023/2/18,10.9,20.6,0,26,59,51,1017.8,1015.7,No,No
2023/2/19,20.2,31.7,0,30,73,32,1013.9,1009.7,No,No
2023/2/20,4.8,21.3,0,28,72,30,1020.1,1017.5,No,No
2023/2/21,4.9,15.9,0.2,20,91,54,1016.66,1016.1,No,No
2023/2/22,5,27.9,0,20,35,16,1019.2,1016.4,No,No
2023/2/23,9.4,19.9,0,43,61,41,1017.3,1015.2,No,No
2023/2/24,5,11.8,2.6,31,75,85,1019.3,1017.7,Yes,Yes
2023/2/25,14.3,25.6,0,37,71,51,1017.6,1015.6,No,No
2023/2/26,6.2,11.8,3,20,96,70,1019.8,1017.8,Yes,No
2023/2/27,8.3,16.2,0,20,47,49,1020.2,1018.5,No,No
2023/2/28,10.1,19.3,0,43,56,35,1017.3,1015.1,No,No
2023/3/1,2.7,18.8,0,24,96,40,1017.7,1015.4,No,No
2023/3/2,9.4,19.3,0,48,55,39,1017.7,1015.5,No,No
2023/3/3,0.1,14.5,0,35,64,43,1017.1,1015.4,No,No
2023/3/4,-5.3,1.9,0,70,96,94,1016.9,1015.433333,No,No
2023/3/5,8.6,14.3,0,35,67,56,1017.4,1015,No,Yes
2023/3/6,2.7,20,0.2,37,88,35,1018.8,1015.2,No,No
2023/3/7,6.1,13.3,7.8,57,92,83,1015.4,1015.1,Yes,Yes
2023/3/8,0.1,14.8,0,40.5,72,50,1016.3,1013.2,No,No
2023/3/9,-0.1,12.7,0,19,92,54,1020.8,1018.5,No,No
2023/3/10,14.8,20.1,3.8,46,85,69,1015.1,1014.2,Yes,No
2023/3/11,5.6,18.4,0,31,87,45,1019.8,1018.4,No,No
2023/3/12,-4.3,14.5,0,54,81,49,1018.9,1016.5,No,No
2023/3/13,12.9,22.4,0,26,66,64,1020.2,1017.3,No,No
2023/3/14,8.5,19.3,0,17,83,61,1020.2,1017,No,No
2023/3/15,5.5,13.9,0,44,72,58,1017.8,1015.5,No,No
2023/3/16,9.3,15.4,7.4,20,100,70,1028.7,1026.7,Yes,No
2023/3/17,5.7,12.6,0,50,75,67,1003.8,1002.2,No,No
2023/3/18,2.4,10.6,0.2,39,100,84,1017.5,1015.8,No,Yes
2023/3/19,6.7,22.2,0,19,73,31,1021,1017.7,No,No
2023/3/20,19.1,27.3,5.2,41,80,64,1017,1014.5,Yes,No
2023/3/21,0.8,18.6,0.2,31,99,40,1018.8,1015.5,No,No
2023/3/22,4.7,13.1,0,33,75,65,1018.5,1016.4,No,No
2023/3/23,1.8,12.8,0,50,84,73,1017.2,1014.734545,No,No
2023/3/24,9.1,15,0.4,46,97,81,1029,1026.9,No,No
2023/3/25,11,24.2,0,20,68,53,1020.5,1017.3,No,No
2023/3/26,3.1,20,0,28,95,45,1012,1007.7,No,No
2023/3/27,4.7,14.3,0,41,90,61,1018.6,1017.3,No,No
2023/3/28,4.9,16.8,0,39,69,44,1028.5,1026,No,No
